"date","home.team","home.score","away.team","away.score"
"2017-08-18","Bayern Munich",3,"Leverkusen",1
"2017-08-19","Hamburg",1,"Augsburg",0
"2017-08-19","Hertha",2,"Stuttgart",0
"2017-08-19","Hoffenheim",1,"Werder Bremen",0
"2017-08-19","Mainz",0,"Hannover",1
"2017-08-19","Schalke 04",2,"RB Leipzig",0
"2017-08-19","Wolfsburg",0,"Dortmund",3
"2017-08-20","Freiburg",0,"Ein Frankfurt",0
"2017-08-20","M'gladbach",1,"FC Koln",0
"2017-08-25","FC Koln",1,"Hamburg",3
"2017-08-26","Augsburg",2,"M'gladbach",2
"2017-08-26","Dortmund",2,"Hertha",0
"2017-08-26","Ein Frankfurt",0,"Wolfsburg",1
"2017-08-26","Leverkusen",2,"Hoffenheim",2
"2017-08-26","Stuttgart",1,"Mainz",0
"2017-08-26","Werder Bremen",0,"Bayern Munich",2
"2017-08-27","Hannover",1,"Schalke 04",0
"2017-08-27","RB Leipzig",4,"Freiburg",1
"2017-09-08","Hamburg",0,"RB Leipzig",2
"2017-09-09","Augsburg",3,"FC Koln",0
"2017-09-09","Freiburg",0,"Dortmund",0
"2017-09-09","Hoffenheim",2,"Bayern Munich",0
"2017-09-09","Mainz",3,"Leverkusen",1
"2017-09-09","M'gladbach",0,"Ein Frankfurt",1
"2017-09-09","Wolfsburg",1,"Hannover",1
"2017-09-10","Hertha",1,"Werder Bremen",1
"2017-09-10","Schalke 04",3,"Stuttgart",1
"2017-09-15","Hannover",2,"Hamburg",0
"2017-09-16","Bayern Munich",4,"Mainz",0
"2017-09-16","Ein Frankfurt",1,"Augsburg",2
"2017-09-16","RB Leipzig",2,"M'gladbach",2
"2017-09-16","Stuttgart",1,"Wolfsburg",0
"2017-09-16","Werder Bremen",1,"Schalke 04",2
"2017-09-17","Dortmund",5,"FC Koln",0
"2017-09-17","Hoffenheim",1,"Hertha",1
"2017-09-17","Leverkusen",4,"Freiburg",0
"2017-09-19","Augsburg",1,"RB Leipzig",0
"2017-09-19","M'gladbach",2,"Stuttgart",0
"2017-09-19","Schalke 04",0,"Bayern Munich",3
"2017-09-19","Wolfsburg",1,"Werder Bremen",1
"2017-09-20","FC Koln",0,"Ein Frankfurt",1
"2017-09-20","Freiburg",1,"Hannover",1
"2017-09-20","Hamburg",0,"Dortmund",3
"2017-09-20","Hertha",2,"Leverkusen",1
"2017-09-20","Mainz",2,"Hoffenheim",3
"2017-09-22","Bayern Munich",2,"Wolfsburg",2
"2017-09-23","Dortmund",6,"M'gladbach",1
"2017-09-23","Hoffenheim",2,"Schalke 04",0
"2017-09-23","Mainz",1,"Hertha",0
"2017-09-23","RB Leipzig",2,"Ein Frankfurt",1
"2017-09-23","Stuttgart",0,"Augsburg",0
"2017-09-23","Werder Bremen",0,"Freiburg",0
"2017-09-24","Hannover",0,"FC Koln",0
"2017-09-24","Leverkusen",3,"Hamburg",0
"2017-09-29","Schalke 04",1,"Leverkusen",1
"2017-09-30","Augsburg",1,"Dortmund",2
"2017-09-30","Ein Frankfurt",2,"Stuttgart",1
"2017-09-30","Hamburg",0,"Werder Bremen",0
"2017-09-30","M'gladbach",2,"Hannover",1
"2017-09-30","Wolfsburg",1,"Mainz",1
"2017-10-01","FC Koln",1,"RB Leipzig",2
"2017-10-01","Freiburg",3,"Hoffenheim",2
"2017-10-01","Hertha",2,"Bayern Munich",2
"2017-10-13","Stuttgart",2,"FC Koln",1
"2017-10-14","Bayern Munich",5,"Freiburg",0
"2017-10-14","Dortmund",2,"RB Leipzig",3
"2017-10-14","Hannover",1,"Ein Frankfurt",2
"2017-10-14","Hertha",0,"Schalke 04",2
"2017-10-14","Hoffenheim",2,"Augsburg",2
"2017-10-14","Mainz",3,"Hamburg",2
"2017-10-15","Leverkusen",2,"Wolfsburg",2
"2017-10-15","Werder Bremen",0,"M'gladbach",2
"2017-10-20","Schalke 04",2,"Mainz",0
"2017-10-21","Augsburg",1,"Hannover",2
"2017-10-21","Ein Frankfurt",2,"Dortmund",2
"2017-10-21","Hamburg",0,"Bayern Munich",1
"2017-10-21","M'gladbach",1,"Leverkusen",5
"2017-10-21","RB Leipzig",1,"Stuttgart",0
"2017-10-22","FC Koln",0,"Werder Bremen",0
"2017-10-22","Freiburg",1,"Hertha",1
"2017-10-22","Wolfsburg",1,"Hoffenheim",1
"2017-10-27","Mainz",1,"Ein Frankfurt",1
"2017-10-28","Bayern Munich",2,"RB Leipzig",0
"2017-10-28","Hannover",4,"Dortmund",2
"2017-10-28","Hertha",2,"Hamburg",1
"2017-10-28","Hoffenheim",1,"M'gladbach",3
"2017-10-28","Leverkusen",2,"FC Koln",1
"2017-10-28","Schalke 04",1,"Wolfsburg",1
"2017-10-29","Stuttgart",3,"Freiburg",0
"2017-10-29","Werder Bremen",0,"Augsburg",3
"2017-11-03","Ein Frankfurt",2,"Werder Bremen",1
"2017-11-04","Augsburg",1,"Leverkusen",1
"2017-11-04","Dortmund",1,"Bayern Munich",3
"2017-11-04","Freiburg",0,"Schalke 04",1
"2017-11-04","Hamburg",3,"Stuttgart",1
"2017-11-04","M'gladbach",1,"Mainz",1
"2017-11-04","RB Leipzig",2,"Hannover",1
"2017-11-05","FC Koln",0,"Hoffenheim",3
"2017-11-05","Wolfsburg",3,"Hertha",3
"2017-11-17","Stuttgart",2,"Dortmund",1
"2017-11-18","Bayern Munich",3,"Augsburg",0
"2017-11-18","Hertha",2,"M'gladbach",4
"2017-11-18","Hoffenheim",1,"Ein Frankfurt",1
"2017-11-18","Leverkusen",2,"RB Leipzig",2
"2017-11-18","Mainz",1,"FC Koln",0
"2017-11-18","Wolfsburg",3,"Freiburg",1
"2017-11-19","Schalke 04",2,"Hamburg",0
"2017-11-19","Werder Bremen",4,"Hannover",0
"2017-11-24","Hannover",1,"Stuttgart",1
"2017-11-25","Augsburg",2,"Wolfsburg",1
"2017-11-25","Dortmund",4,"Schalke 04",4
"2017-11-25","Ein Frankfurt",0,"Leverkusen",1
"2017-11-25","Freiburg",2,"Mainz",1
"2017-11-25","M'gladbach",2,"Bayern Munich",1
"2017-11-25","RB Leipzig",2,"Werder Bremen",0
"2017-11-26","FC Koln",0,"Hertha",2
"2017-11-26","Hamburg",3,"Hoffenheim",0
"2017-12-01","Freiburg",0,"Hamburg",0
"2017-12-02","Bayern Munich",3,"Hannover",1
"2017-12-02","Hoffenheim",4,"RB Leipzig",0
"2017-12-02","Leverkusen",1,"Dortmund",1
"2017-12-02","Mainz",1,"Augsburg",3
"2017-12-02","Schalke 04",2,"FC Koln",2
"2017-12-02","Werder Bremen",1,"Stuttgart",0
"2017-12-03","Hertha",1,"Ein Frankfurt",2
"2017-12-03","Wolfsburg",3,"M'gladbach",0
"2017-12-08","Stuttgart",0,"Leverkusen",2
"2017-12-09","Dortmund",1,"Werder Bremen",2
"2017-12-09","Ein Frankfurt",0,"Bayern Munich",1
"2017-12-09","Hamburg",0,"Wolfsburg",0
"2017-12-09","M'gladbach",1,"Schalke 04",1
"2017-12-09","RB Leipzig",2,"Mainz",2
"2017-12-10","Augsburg",1,"Hertha",1
"2017-12-10","FC Koln",3,"Freiburg",4
"2017-12-10","Hannover",2,"Hoffenheim",0
"2017-12-12","Freiburg",1,"M'gladbach",0
"2017-12-12","Hamburg",1,"Ein Frankfurt",2
"2017-12-12","Mainz",0,"Dortmund",2
"2017-12-12","Wolfsburg",1,"RB Leipzig",1
"2017-12-13","Bayern Munich",1,"FC Koln",0
"2017-12-13","Hertha",3,"Hannover",1
"2017-12-13","Hoffenheim",1,"Stuttgart",0
"2017-12-13","Leverkusen",1,"Werder Bremen",0
"2017-12-13","Schalke 04",3,"Augsburg",2
"2017-12-15","M'gladbach",3,"Hamburg",1
"2017-12-16","Augsburg",3,"Freiburg",3
"2017-12-16","Dortmund",2,"Hoffenheim",1
"2017-12-16","Ein Frankfurt",2,"Schalke 04",2
"2017-12-16","FC Koln",1,"Wolfsburg",0
"2017-12-16","Stuttgart",0,"Bayern Munich",1
"2017-12-16","Werder Bremen",2,"Mainz",2
"2017-12-17","Hannover",4,"Leverkusen",4
"2017-12-17","RB Leipzig",2,"Hertha",3
"2018-01-12","Leverkusen",1,"Bayern Munich",3
"2018-01-13","Augsburg",1,"Hamburg",0
"2018-01-13","Ein Frankfurt",1,"Freiburg",1
"2018-01-13","Hannover",3,"Mainz",2
"2018-01-13","RB Leipzig",3,"Schalke 04",1
"2018-01-13","Stuttgart",1,"Hertha",0
"2018-01-13","Werder Bremen",1,"Hoffenheim",1
"2018-01-14","Dortmund",0,"Wolfsburg",0
"2018-01-14","FC Koln",2,"M'gladbach",1
"2018-01-19","Hertha",1,"Dortmund",1
"2018-01-20","Freiburg",2,"RB Leipzig",1
"2018-01-20","Hamburg",0,"FC Koln",2
"2018-01-20","Hoffenheim",1,"Leverkusen",4
"2018-01-20","Mainz",3,"Stuttgart",2
"2018-01-20","M'gladbach",2,"Augsburg",0
"2018-01-20","Wolfsburg",1,"Ein Frankfurt",3
"2018-01-21","Bayern Munich",4,"Werder Bremen",2
"2018-01-21","Schalke 04",1,"Hannover",1
"2018-01-26","Ein Frankfurt",2,"M'gladbach",0
"2018-01-27","Bayern Munich",5,"Hoffenheim",2
"2018-01-27","Dortmund",2,"Freiburg",2
"2018-01-27","FC Koln",1,"Augsburg",1
"2018-01-27","RB Leipzig",1,"Hamburg",1
"2018-01-27","Stuttgart",0,"Schalke 04",2
"2018-01-27","Werder Bremen",0,"Hertha",0
"2018-01-28","Hannover",0,"Wolfsburg",1
"2018-01-28","Leverkusen",2,"Mainz",0
"2018-02-02","FC Koln",2,"Dortmund",3
"2018-02-03","Freiburg",0,"Leverkusen",0
"2018-02-03","Hertha",1,"Hoffenheim",1
"2018-02-03","Mainz",0,"Bayern Munich",2
"2018-02-03","M'gladbach",0,"RB Leipzig",1
"2018-02-03","Schalke 04",1,"Werder Bremen",2
"2018-02-03","Wolfsburg",1,"Stuttgart",1
"2018-02-04","Augsburg",3,"Ein Frankfurt",0
"2018-02-04","Hamburg",1,"Hannover",1
"2018-02-09","RB Leipzig",2,"Augsburg",0
"2018-02-10","Bayern Munich",2,"Schalke 04",1
"2018-02-10","Dortmund",2,"Hamburg",0
"2018-02-10","Ein Frankfurt",4,"FC Koln",2
"2018-02-10","Hannover",2,"Freiburg",1
"2018-02-10","Hoffenheim",4,"Mainz",2
"2018-02-10","Leverkusen",0,"Hertha",2
"2018-02-11","Stuttgart",1,"M'gladbach",0
"2018-02-11","Werder Bremen",3,"Wolfsburg",1
"2018-02-16","Hertha",0,"Mainz",2
