Entity,Code,Year,Renewables per capita (kWh)
Africa,,1965,120.653
Africa,,1966,131.249
Africa,,1967,133.6
Africa,,1968,152.359
Africa,,1969,173.317
Africa,,1970,211.175
Africa,,1971,194.955
Africa,,1972,216.209
Africa,,1973,222.733
Africa,,1974,246.655
Africa,,1975,253.813
Africa,,1976,273.66
Africa,,1977,292.44
Africa,,1978,286.792
Africa,,1979,298.455
Africa,,1980,282.91
Africa,,1981,285.774
Africa,,1982,277.992
Africa,,1983,243.646
Africa,,1984,232.932
Africa,,1985,251.734
Africa,,1986,254.996
Africa,,1987,237.922
Africa,,1988,252.341
Africa,,1989,257.594
Africa,,1990,255.68
Africa,,1991,263.639
Africa,,1992,245.312
Africa,,1993,234.65
Africa,,1994,232.019
Africa,,1995,235.445
Africa,,1996,240.183
Africa,,1997,240.462
Africa,,1998,245.892
Africa,,1999,254.088
Africa,,2000,266.152
Africa,,2001,277.773
Africa,,2002,283.219
Africa,,2003,268.796
Africa,,2004,276.158
Africa,,2005,272.745
Africa,,2006,275.8
Africa,,2007,274.603
Africa,,2008,272.145
Africa,,2009,271.977
Africa,,2010,285.42
Africa,,2011,285.258
Africa,,2012,279.08
Africa,,2013,288.426
Africa,,2014,301.105
Africa,,2015,298.712
Africa,,2016,289.087
Africa,,2017,303.573
Africa,,2018,317.342
Africa,,2019,337.336
Algeria,DZA,1965,88.528
Algeria,DZA,1966,76.425
Algeria,DZA,1967,85.792
Algeria,DZA,1968,114.453
Algeria,DZA,1969,71.311
Algeria,DZA,1970,111.38
Algeria,DZA,1971,61.637
Algeria,DZA,1972,89.952
Algeria,DZA,1973,132.966
Algeria,DZA,1974,85.489
Algeria,DZA,1975,54.86
Algeria,DZA,1976,63.242
Algeria,DZA,1977,42.497
Algeria,DZA,1978,38.363
Algeria,DZA,1979,43.347
Algeria,DZA,1980,37.139
Algeria,DZA,1981,51.285
Algeria,DZA,1982,65.054
Algeria,DZA,1983,30.934
Algeria,DZA,1984,57.69
Algeria,DZA,1985,79.995
Algeria,DZA,1986,30.06
Algeria,DZA,1987,58.304
Algeria,DZA,1988,20.797
Algeria,DZA,1989,25.005
Algeria,DZA,1990,14.558
Algeria,DZA,1991,30.829
Algeria,DZA,1992,20.452
Algeria,DZA,1993,35.481
Algeria,DZA,1994,16.343
Algeria,DZA,1995,18.642
Algeria,DZA,1996,12.814
Algeria,DZA,1997,7.004
Algeria,DZA,1998,19.78
Algeria,DZA,1999,18.414
Algeria,DZA,2000,4.832
Algeria,DZA,2001,6.054
Algeria,DZA,2002,4.906
Algeria,DZA,2003,22.377
Algeria,DZA,2004,20.784
Algeria,DZA,2005,45.058
Algeria,DZA,2006,17.289
Algeria,DZA,2007,17.57
Algeria,DZA,2008,21.51
Algeria,DZA,2009,25.393
Algeria,DZA,2010,13.197
Algeria,DZA,2011,28.001
Algeria,DZA,2012,28.643
Algeria,DZA,2013,8.565
Algeria,DZA,2014,16.607
Algeria,DZA,2015,14.136
Algeria,DZA,2016,20.84
Algeria,DZA,2017,34.973
Algeria,DZA,2018,42.965
Algeria,DZA,2019,44.661
Argentina,ARG,1965,153.555
Argentina,ARG,1966,153.251
Argentina,ARG,1967,154.652
Argentina,ARG,1968,179.606
Argentina,ARG,1969,158.744
Argentina,ARG,1970,186.404
Argentina,ARG,1971,182.498
Argentina,ARG,1972,176.714
Argentina,ARG,1973,337.36
Argentina,ARG,1974,553.992
Argentina,ARG,1975,564.44
Argentina,ARG,1976,535.483
Argentina,ARG,1977,606.364
Argentina,ARG,1978,801.291
Argentina,ARG,1979,1086.439
Argentina,ARG,1980,1516.517
Argentina,ARG,1981,1446.743
Argentina,ARG,1982,1706.404
Argentina,ARG,1983,1761.512
Argentina,ARG,1984,1866.12
Argentina,ARG,1985,1907.501
Argentina,ARG,1986,1910.675
Argentina,ARG,1987,1955.167
Argentina,ARG,1988,1329.212
Argentina,ARG,1989,1130.569
Argentina,ARG,1990,1531.382
Argentina,ARG,1991,1370.508
Argentina,ARG,1992,1647.076
Argentina,ARG,1993,1934.953
Argentina,ARG,1994,2268.221
Argentina,ARG,1995,2278.956
Argentina,ARG,1996,2073.223
Argentina,ARG,1997,2608.979
Argentina,ARG,1998,2535.551
Argentina,ARG,1999,2073.058
Argentina,ARG,2000,2617.523
Argentina,ARG,2001,3151.093
Argentina,ARG,2002,3084.571
Argentina,ARG,2003,2873.439
Argentina,ARG,2004,2558.176
Argentina,ARG,2005,2800.738
Argentina,ARG,2006,3079.184
Argentina,ARG,2007,2635.797
Argentina,ARG,2008,2564.317
Argentina,ARG,2009,2757.322
Argentina,ARG,2010,2860.631
Argentina,ARG,2011,2838.265
Argentina,ARG,2012,2709.964
Argentina,ARG,2013,2932.792
Argentina,ARG,2014,2945.296
Argentina,ARG,2015,2985.942
Argentina,ARG,2016,2732.613
Argentina,ARG,2017,2962.672
Argentina,ARG,2018,2962.767
Argentina,ARG,2019,2911.84
Australia,AUS,1965,1960.813
Australia,AUS,1966,1827.983
Australia,AUS,1967,1843.089
Australia,AUS,1968,1871.977
Australia,AUS,1969,1989.227
Australia,AUS,1970,2265.061
Australia,AUS,1971,2508.686
Australia,AUS,1972,2481.905
Australia,AUS,1973,2610.65
Australia,AUS,1974,2920.062
Australia,AUS,1975,3101.24
Australia,AUS,1976,2917.677
Australia,AUS,1977,2754.118
Australia,AUS,1978,2939.848
Australia,AUS,1979,2826.165
Australia,AUS,1980,2637.558
Australia,AUS,1981,2682.539
Australia,AUS,1982,2463.884
Australia,AUS,1983,2295.1
Australia,AUS,1984,2443.493
Australia,AUS,1985,2553.009
Australia,AUS,1986,2527.853
Australia,AUS,1987,2417.456
Australia,AUS,1988,2543.672
Australia,AUS,1989,2503.504
Australia,AUS,1990,2541.617
Australia,AUS,1991,2646.793
Australia,AUS,1992,2653.529
Australia,AUS,1993,2694.24
Australia,AUS,1994,2632.703
Australia,AUS,1995,2544.919
Australia,AUS,1996,2588.196
Australia,AUS,1997,2566.376
Australia,AUS,1998,2530.534
Australia,AUS,1999,2587.144
Australia,AUS,2000,2565.069
Australia,AUS,2001,2481.849
Australia,AUS,2002,2537.384
Australia,AUS,2003,2591.864
Australia,AUS,2004,2637.543
Australia,AUS,2005,2765.928
Australia,AUS,2006,2798.649
Australia,AUS,2007,2749.236
Australia,AUS,2008,2770.23
Australia,AUS,2009,3014.951
Australia,AUS,2010,3471.619
Australia,AUS,2011,4418.236
Australia,AUS,2012,4190.42
Australia,AUS,2013,4645.385
Australia,AUS,2014,4226.812
Australia,AUS,2015,4406.212
Australia,AUS,2016,4853.733
Australia,AUS,2017,4567.292
Australia,AUS,2018,5587.851
Australia,AUS,2019,6052.054
Austria,AUT,1965,6115.679
Austria,AUT,1966,6548.11
Austria,AUT,1967,6646.093
Austria,AUT,1968,6789.507
Austria,AUT,1969,6209.243
Austria,AUT,1970,7868.295
Austria,AUT,1971,6188.416
Austria,AUT,1972,6334.408
Austria,AUT,1973,7014.451
Austria,AUT,1974,8272.947
Austria,AUT,1975,8653.814
Austria,AUT,1976,7476.34
Austria,AUT,1977,9064.358
Austria,AUT,1978,9082.336
Austria,AUT,1979,10245.042
Austria,AUT,1980,10625.611
Austria,AUT,1981,11267.194
Austria,AUT,1982,11289.545
Austria,AUT,1983,11182.108
Austria,AUT,1984,9804.415
Austria,AUT,1985,11226.078
Austria,AUT,1986,11727.306
Austria,AUT,1987,13197.567
Austria,AUT,1988,13183.864
Austria,AUT,1989,13076.518
Austria,AUT,1990,11751.996
Austria,AUT,1991,11685.299
Austria,AUT,1992,12844.338
Austria,AUT,1993,13412.046
Austria,AUT,1994,12913.87
Austria,AUT,1995,13549.477
Austria,AUT,1996,12422.714
Austria,AUT,1997,13103.437
Austria,AUT,1998,13510.368
Austria,AUT,1999,14634.186
Austria,AUT,2000,14976.806
Austria,AUT,2001,14443.689
Austria,AUT,2002,14173.238
Austria,AUT,2003,11794.925
Austria,AUT,2004,13130.104
Austria,AUT,2005,13438.334
Austria,AUT,2006,13530.805
Austria,AUT,2007,14271.579
Austria,AUT,2008,14717.027
Austria,AUT,2009,15515.364
Austria,AUT,2010,14657.432
Austria,AUT,2011,13239.004
Austria,AUT,2012,16215.726
Austria,AUT,2013,15696.877
Austria,AUT,2014,15518.506
Austria,AUT,2015,14689.515
