Entity,Code,Year,Wind per capita (kWh)
Africa,,1965,0
Africa,,1966,0
Africa,,1967,0
Africa,,1968,0
Africa,,1969,0
Africa,,1970,0
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0.008
Africa,,1994,0.021
Africa,,1995,0.024
Africa,,1996,0.027
Africa,,1997,0.027
Africa,,1998,0.027
Africa,,1999,0.069
Africa,,2000,0.603
Africa,,2001,1.382
Africa,,2002,1.432
Africa,,2003,1.69
Africa,,2004,2.33
Africa,,2005,2.297
Africa,,2006,2.426
Africa,,2007,2.803
Africa,,2008,3.507
Africa,,2009,4.117
Africa,,2010,5.73
Africa,,2011,6.166
Africa,,2012,6.971
Africa,,2013,8.115
Africa,,2014,11.391
Africa,,2015,19.016
Africa,,2016,23.438
Africa,,2017,25.032
Africa,,2018,27.831
Africa,,2019,33.143
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,0.065
Algeria,DZA,2015,1.21
Algeria,DZA,2016,1.182
Algeria,DZA,2017,1.148
Algeria,DZA,2018,0.589
Algeria,DZA,2019,0.575
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0.758
Argentina,ARG,1997,1.137
Argentina,ARG,1998,2.506
Argentina,ARG,1999,2.649
Argentina,ARG,2000,2.619
Argentina,ARG,2001,3.654
Argentina,ARG,2002,5.341
Argentina,ARG,2003,5.576
Argentina,ARG,2004,5.095
Argentina,ARG,2005,4.96
Argentina,ARG,2006,4.738
Argentina,ARG,2007,4.123
Argentina,ARG,2008,2.763
Argentina,ARG,2009,2.387
Argentina,ARG,2010,1.616
Argentina,ARG,2011,1.668
Argentina,ARG,2012,22.816
Argentina,ARG,2013,27.507
Argentina,ARG,2014,36.975
Argentina,ARG,2015,34.846
Argentina,ARG,2016,31.638
Argentina,ARG,2017,34.798
Argentina,ARG,2018,79.151
Argentina,ARG,2019,276.258
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.316
Australia,AUS,1994,0.858
Australia,AUS,1995,1.081
Australia,AUS,1996,1.069
Australia,AUS,1997,1.133
Australia,AUS,1998,2.69
Australia,AUS,1999,6.357
Australia,AUS,2000,19.6
Australia,AUS,2001,41.263
Australia,AUS,2002,75.406
Australia,AUS,2003,97.742
Australia,AUS,2004,108.253
Australia,AUS,2005,173.164
Australia,AUS,2006,281.555
Australia,AUS,2007,362.206
Australia,AUS,2008,427.97
Australia,AUS,2009,535.251
Australia,AUS,2010,586.672
Australia,AUS,2011,739.565
Australia,AUS,2012,868.745
Australia,AUS,2013,1019.363
Australia,AUS,2014,1054.484
Australia,AUS,2015,1251.401
Australia,AUS,2016,1350.151
Australia,AUS,2017,1341.798
Australia,AUS,2018,1638.239
Australia,AUS,2019,1918.297
Austria,AUT,1965,0
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0.348
Austria,AUT,1996,1.732
Austria,AUT,1997,6.916
Austria,AUT,1998,15.545
Austria,AUT,1999,17.596
Austria,AUT,2000,23.065
Austria,AUT,2001,58.616
Austria,AUT,2002,68.43
Austria,AUT,2003,121.956
Austria,AUT,2004,304.403
Austria,AUT,2005,433.846
Austria,AUT,2006,565.497
Austria,AUT,2007,650.863
Austria,AUT,2008,636.445
Austria,AUT,2009,612.247
Austria,AUT,2010,639.878
Austria,AUT,2011,593.528
Austria,AUT,2012,745.895
Austria,AUT,2013,943.553
Austria,AUT,2014,1136.058
Austria,AUT,2015,1410.868
Austria,AUT,2016,1505.035
Austria,AUT,2017,1862.675
